month,term,value,category,index,x,y,vy,vx,monthNum
2021-02-01,"Shortness of breath, covid",1.29,health,4231,962.7968240621937,172.3556468653706,0.1554771757288467,0.08324710425348418,1612137600000
2021-03-01,"Shortness of breath, covid",0.23,health,4232,978.5657203425089,162.04323599844494,-0.11652802661588776,0.15356758774682486,1614556800000
2021-04-01,"Shortness of breath, covid",1.44,health,4233,983.42511292075,114.62030123212128,-0.045742979198426514,-0.024188526244067775,1617235200000
2021-05-01,"Shortness of breath, covid",0,health,4234,999.7324321974675,153.12899998392035,-0.054058658542232775,0.07244213166829909,1619827200000
2015-01-01,Standing Rock,0,location,4235,-0.42391699981871267,149.18544991513681,-0.7189318252671293,1.6200468119297489,1420070400000
2015-02-01,Standing Rock,0,location,4236,14.56947460060837,162.24976425877793,-0.09412073942686885,0.03449614766672555,1422748800000
2015-03-01,Standing Rock,0,location,4237,25.42897371384487,166.20292370227514,0.039924433505106806,-0.045285634293423624,1425168000000
2015-04-01,Standing Rock,0,location,4238,40.37595120094438,115.1653670047666,-0.05188102667194296,-0.02666516349812947,1427846400000
2015-05-01,Standing Rock,0,location,4239,46.998577195138466,141.38975298732566,-0.33512102373854286,-0.037266505744208846,1430438400000
2015-06-01,Standing Rock,0,location,4240,62.713062769082875,139.92436847297296,-0.7948089437992344,0.5975116092767656,1433116800000
2015-07-01,Standing Rock,0,location,4241,75.5772243265876,142.40767445942998,-0.08735619098099132,0.038259695002867564,1435708800000
2015-08-01,Standing Rock,0,location,4242,88.092902450204,156.66182668302514,-0.1365755894009908,-0.09443965526597746,1438387200000
2015-09-01,Standing Rock,0,location,4243,107.64427978735658,148.42903264007168,-0.7916894869455664,-0.40953467242430613,1441065600000
2015-10-01,Standing Rock,0,location,4244,115.59936118621454,170.14896693176115,0.538731893167342,0.3496268140084769,1443657600000
2015-11-01,Standing Rock,0,location,4245,127.82501077738759,146.20304355675347,0.1529007211836572,-0.035818019226355614,1446336000000
2015-12-01,Standing Rock,0,location,4246,145.4268884462557,151.0136644732865,0.1212919902054536,0.18562490288331698,1448928000000
2016-01-01,Standing Rock,0,location,4247,156.2559482508064,146.3827835120161,-0.4127007262684034,-0.5091799242927781,1451606400000
2016-02-01,Standing Rock,0,location,4248,175.67769938083967,143.8734351278188,0.06793501450121843,0.03924766752982687,1454284800000
2016-03-01,Standing Rock,0,location,4249,187.95059521031772,151.66123522254773,0.045326206848544666,0.11482722779935203,1456790400000
2016-04-01,Standing Rock,0,location,4250,202.42387104374683,166.27090392084077,0.0442575361058674,0.02410627833846569,1459468800000
2016-05-01,Standing Rock,0,location,4251,211.1292942424107,146.05004035216973,-0.15518811624590897,-0.4334806644544899,1462060800000
2016-06-01,Standing Rock,0,location,4252,216.73893518416378,149.0937620579676,0.07979297325711755,0.06636233923821475,1464739200000
2016-07-01,Standing Rock,0,location,4253,233.8666753498849,140.74511355660252,0.6303059842143521,0.367379107164896,1467331200000
2016-08-01,Standing Rock,0,location,4254,244.44501924957783,157.7294230643193,0.42296830038564764,-0.4619616966223381,1470009600000
2016-09-01,Standing Rock,0.66,location,4255,257.9835830361911,148.21739925903856,-0.2720047752978333,0.05808624695147793,1472688000000
2016-10-01,Standing Rock,0.95,location,4256,275.92298058845256,146.8450657406259,-0.45601379169223455,-1.2279899770585996,1475280000000
2016-11-01,Standing Rock,8.9,location,4257,289.530988891717,143.48116850505983,-0.035475835303833955,-0.03133625079502593,1477958400000
2016-12-01,Standing Rock,1.54,location,4258,298.0093870781218,150.90858470216247,-1.2590412503886612,0.36950601623682794,1480550400000
2017-01-01,Standing Rock,1.16,location,4259,320.8811028379103,150.3089986336154,0.20247104369119018,-0.401297446305357,1483228800000
2017-02-01,Standing Rock,0.62,location,4260,332.963499703677,164.3833422788913,-0.13244515538969068,-0.09937752731282383,1485907200000
2017-03-01,Standing Rock,0,location,4261,342.7332926001704,154.43301595152468,0.22694090331303787,0.2645629492730831,1488326400000
2017-04-01,Standing Rock,0.6,location,4262,352.5275552355398,136.54848259718892,-0.27069690190690054,0.2379779512558046,1491004800000
2017-05-01,Standing Rock,0,location,4263,364.97312834304154,145.91309238167995,-0.23782981993366553,0.45716315740438296,1493596800000
2017-06-01,Standing Rock,0,location,4264,382.6841517566063,151.96311225179733,-0.9203046723603759,0.8483916958338901,1496275200000
2017-07-01,Standing Rock,0,location,4265,398.94768902042694,168.22434255686332,0.1711814313136873,-0.04093221012277208,1498867200000
2017-08-01,Standing Rock,0,location,4266,406.31008616708317,161.15774348092515,0.13144323325036567,-0.15447000872186056,1501545600000
2017-09-01,Standing Rock,0,location,4267,420.3011319909735,150.1714577537101,1.4875102886646185,1.2676636049437446,1504224000000
2017-10-01,Standing Rock,0,location,4268,430.43316518308416,159.09407435037457,0.2230420250244526,-0.04073417966015986,1506816000000
2017-11-01,Standing Rock,0.29,location,4269,448.3807420171306,159.3883094747948,0.14951982682633572,0.14253172338658426,1509494400000
2017-12-01,Standing Rock,0,location,4270,463.15285460879846,158.87349168237935,-0.13495219893269078,0.07939589892818046,1512086400000
2018-01-01,Standing Rock,0,location,4271,471.99670563588546,160.1932200386195,1.083588859639382,-0.26646189532643755,1514764800000
2018-02-01,Standing Rock,0,location,4272,489.4335285470116,156.62711358599478,-0.5797914900176994,0.9479577554772067,1517443200000
2018-03-01,Standing Rock,0,location,4273,502.9269218423911,151.57166247853118,0.7371088416876209,0.8789462149292416,1519862400000
2018-04-01,Standing Rock,0,location,4274,522.7158413520684,152.88034101060666,-0.10309217414916896,0.37575767726240233,1522540800000
2018-05-01,Standing Rock,0,location,4275,522.8388897205131,139.41825001592125,-0.38362568516496237,0.171306289873094,1525132800000
